City,Property Type,Period Begin,Period End,Median Sale Price (in 000's of dollars)
Kirkland,Condo/Co-op,7/1/15,7/31/15,233
Seattle,Condo/Co-op,11/1/15,11/30/15,337
Issaquah,Condo/Co-op,12/1/15,12/31/15,281
Mercer Island,Condo/Co-op,4/1/16,4/30/16,425
Olympia,Condo/Co-op,4/1/16,4/30/16,182
Redmond,Condo/Co-op,11/1/16,11/30/16,273
Redmond,Condo/Co-op,2/1/17,2/28/17,375
Bothell,Condo/Co-op,3/1/17,3/31/17,490
Kent,Condo/Co-op,3/1/17,3/31/17,173
Mercer Island,Condo/Co-op,2/1/18,2/28/18,469
Kent,Condo/Co-op,8/1/19,8/31/19,256
Kenmore,Condo/Co-op,8/1/19,8/31/19,365
Kirkland,Multi-Family (2-4 Unit),1/1/11,1/31/11,553
Kent,Multi-Family (2-4 Unit),10/1/15,10/31/15,297
Bothell,Multi-Family (2-4 Unit),8/1/16,8/31/16,755
Seattle,Multi-Family (2-4 Unit),11/1/18,11/30/18,824
Seattle,Multi-Family (2-4 Unit),1/1/10,1/31/10,447
Seattle,Multi-Family (2-4 Unit),4/1/10,4/30/10,427
Bothell,Multi-Family (2-4 Unit),2/1/12,2/29/12,430
Kirkland,Multi-Family (2-4 Unit),7/1/14,7/31/14,580
Kent,Multi-Family (2-4 Unit),6/1/15,6/30/15,323
Kirkland,Multi-Family (2-4 Unit),7/1/17,7/31/17,"1,328"
Kent,Multi-Family (2-4 Unit),1/1/19,1/31/19,742
Kent,Multi-Family (2-4 Unit),3/1/19,3/31/19,476
Olympia,Single Family Residential,3/1/10,3/31/10,250
Kirkland,Single Family Residential,1/1/11,1/31/11,433
Kirkland,Single Family Residential,2/1/12,2/29/12,380
Bothell,Single Family Residential,8/1/12,8/31/12,358
Issaquah,Single Family Residential,10/1/12,10/31/12,507
Kent,Single Family Residential,1/1/13,1/31/13,241
Redmond,Single Family Residential,4/1/14,4/30/14,620
Kent,Single Family Residential,5/1/14,5/31/14,284
Snoqualmie,Single Family Residential,6/1/14,6/30/14,537
Kirkland,Single Family Residential,11/1/14,11/30/14,611
Kent,Single Family Residential,12/1/14,12/31/14,301
Seattle,Single Family Residential,3/1/15,3/31/15,517
Issaquah,Single Family Residential,3/1/15,3/31/15,598
Issaquah,Single Family Residential,4/1/15,4/30/15,679
Kirkland,Single Family Residential,4/1/15,4/30/15,625
Issaquah,Single Family Residential,7/1/15,7/31/15,650
Kenmore,Single Family Residential,8/1/15,8/31/15,513
Kent,Single Family Residential,10/1/15,10/31/15,330
Bothell,Single Family Residential,11/1/15,11/30/15,500
Snoqualmie,Single Family Residential,4/1/17,4/30/17,746
Mercer Island,Single Family Residential,12/1/17,12/31/17,"1,570"
Issaquah,Single Family Residential,2/1/19,2/28/19,815
Seattle,Single Family Residential,3/1/19,3/31/19,763
Kirkland,Single Family Residential,5/1/10,5/31/10,446
Redmond,Single Family Residential,6/1/10,6/30/10,528
Redmond,Single Family Residential,3/1/11,3/31/11,487
Kent,Single Family Residential,3/1/11,3/31/11,230
Kirkland,Single Family Residential,9/1/11,9/30/11,425
Kent,Single Family Residential,1/1/12,1/31/12,228
Kenmore,Single Family Residential,5/1/13,5/31/13,433
Issaquah,Single Family Residential,6/1/13,6/30/13,535
Kenmore,Single Family Residential,7/1/13,7/31/13,434
Issaquah,Single Family Residential,8/1/13,8/31/13,630
Sammamish,Single Family Residential,11/1/13,11/30/13,688
Bothell,Single Family Residential,3/1/14,3/31/14,477
Tacoma,Single Family Residential,4/1/14,4/30/14,180
Tacoma,Single Family Residential,6/1/14,6/30/14,195
Issaquah,Single Family Residential,8/1/14,8/31/14,599
Kent,Single Family Residential,10/1/14,10/31/14,270
Kenmore,Single Family Residential,1/1/17,1/31/17,605
Bellevue,Single Family Residential,4/1/17,4/30/17,"1,103"
Olympia,Single Family Residential,4/1/17,4/30/17,303
Kent,Single Family Residential,8/1/17,8/31/17,404
Redmond,Single Family Residential,9/1/17,9/30/17,879
Bothell,Single Family Residential,3/1/18,3/31/18,750
Redmond,Single Family Residential,8/1/18,8/31/18,997
Issaquah,Single Family Residential,6/1/19,6/30/19,884
Kirkland,Single Family Residential,7/1/19,7/31/19,980
Mercer Island,Single Family Residential,8/1/19,8/31/19,"1,747"
Bothell,Townhouse,10/1/10,10/31/10,205
Issaquah,Townhouse,4/1/11,4/30/11,270
Sammamish,Townhouse,8/1/11,8/31/11,232
Issaquah,Townhouse,12/1/12,12/31/12,281
Kenmore,Townhouse,5/1/13,5/31/13,202
Redmond,Townhouse,1/1/14,1/31/14,305
Kirkland,Townhouse,3/1/14,3/31/14,417
Kenmore,Townhouse,7/1/14,7/31/14,287
Bothell,Townhouse,1/1/15,1/31/15,300
Issaquah,Townhouse,7/1/15,7/31/15,439
Kent,Townhouse,4/1/16,4/30/16,242
Kirkland,Townhouse,8/1/16,8/31/16,430
Kent,Townhouse,8/1/16,8/31/16,237
Sammamish,Townhouse,10/1/16,10/31/16,515
Redmond,Townhouse,10/1/17,10/31/17,610
Seattle,Townhouse,1/1/18,1/31/18,698
Kirkland,Townhouse,4/1/18,4/30/18,550
Snoqualmie,Townhouse,7/1/18,7/31/18,655
Sammamish,Townhouse,11/1/18,11/30/18,661
Redmond,Townhouse,12/1/18,12/31/18,608
Kenmore,Townhouse,5/1/19,5/31/19,387
Bellevue,Townhouse,6/1/19,6/30/19,767
Bellevue,Single Family Residential,7/1/10,7/31/10,588
Kent,Single Family Residential,7/1/10,7/31/10,262
Redmond,Single Family Residential,8/1/10,8/31/10,500
Mercer Island,Single Family Residential,8/1/10,8/31/10,810
Mercer Island,Single Family Residential,4/1/11,4/30/11,885
Kenmore,Single Family Residential,7/1/11,7/31/11,381
Redmond,Single Family Residential,8/1/11,8/31/11,510
Kirkland,Single Family Residential,10/1/12,10/31/12,446
Seattle,Single Family Residential,10/1/12,10/31/12,421
Kirkland,Single Family Residential,4/1/13,4/30/13,495
Issaquah,Single Family Residential,3/1/14,3/31/14,595
Kirkland,Single Family Residential,7/1/14,7/31/14,521
Seattle,Single Family Residential,10/1/14,10/31/14,510
Redmond,Single Family Residential,8/1/15,8/31/15,714
Kent,Single Family Residential,9/1/15,9/30/15,335
Bellevue,Single Family Residential,5/1/16,5/31/16,885
Issaquah,Single Family Residential,5/1/16,5/31/16,790
Kenmore,Single Family Residential,10/1/16,10/31/16,608
Kirkland,Single Family Residential,6/1/17,6/30/17,811
Tacoma,Single Family Residential,10/1/17,10/31/17,272
Kirkland,Single Family Residential,4/1/18,4/30/18,"1,005"
Kent,Single Family Residential,6/1/19,6/30/19,475
Kent,Single Family Residential,7/1/19,7/31/19,456
Mercer Island,Single Family Residential,7/1/19,7/31/19,"1,629"
Olympia,Single Family Residential,8/1/19,8/31/19,375
Seattle,Single Family Residential,9/1/19,9/30/19,760
Kenmore,Townhouse,4/1/10,4/30/10,225
Issaquah,Townhouse,8/1/10,8/31/10,299
Kent,Townhouse,8/1/10,8/31/10,143
Bothell,Townhouse,2/1/11,2/28/11,215
Sammamish,Townhouse,4/1/12,4/30/12,267
Kenmore,Townhouse,6/1/12,6/30/12,270
Issaquah,Townhouse,6/1/12,6/30/12,270
Issaquah,Townhouse,9/1/12,9/30/12,308
Kenmore,Townhouse,11/1/12,11/30/12,342
Kirkland,Townhouse,2/1/14,2/28/14,324
Kirkland,Townhouse,7/1/14,7/31/14,450
Olympia,Townhouse,7/1/15,7/31/15,219
Sammamish,Townhouse,9/1/15,9/30/15,383
Issaquah,Townhouse,3/1/16,3/31/16,545
Issaquah,Townhouse,5/1/16,5/31/16,499
Issaquah,Townhouse,1/1/17,1/31/17,443
Bellevue,Townhouse,1/1/17,1/31/17,523
Redmond,Townhouse,4/1/18,4/30/18,643
Kent,Townhouse,7/1/10,7/31/10,160
Kirkland,Townhouse,8/1/10,8/31/10,333
Seattle,Townhouse,9/1/10,9/30/10,370
Kirkland,Townhouse,1/1/11,1/31/11,424
Redmond,Townhouse,2/1/11,2/28/11,307
Issaquah,Townhouse,2/1/11,2/28/11,285
Olympia,Townhouse,9/1/11,9/30/11,200
Kirkland,Townhouse,3/1/12,3/31/12,203
Kirkland,Townhouse,9/1/12,9/30/12,376
Sammamish,Townhouse,2/1/13,2/28/13,341
Redmond,Townhouse,12/1/13,12/31/13,369
Sammamish,Townhouse,3/1/14,3/31/14,367
Issaquah,Townhouse,5/1/14,5/31/14,388
Sammamish,Townhouse,8/1/14,8/31/14,333
Bothell,Townhouse,8/1/14,8/31/14,290
Snoqualmie,Townhouse,4/1/15,4/30/15,375
Redmond,Townhouse,5/1/15,5/31/15,400
Kent,Townhouse,8/1/15,8/31/15,190
Redmond,Townhouse,5/1/16,5/31/16,469
Kirkland,Townhouse,9/1/16,9/30/16,445
Kirkland,Townhouse,1/1/17,1/31/17,488
Seattle,Townhouse,2/1/17,2/28/17,635
Seattle,Townhouse,3/1/17,3/31/17,634
Sammamish,Townhouse,3/1/17,3/31/17,510
Snoqualmie,Townhouse,4/1/17,4/30/17,569
Redmond,Townhouse,11/1/17,11/30/17,520
Issaquah,Townhouse,5/1/18,5/31/18,705
Sammamish,Townhouse,7/1/18,7/31/18,619
Kirkland,Townhouse,10/1/18,10/31/18,668
Snoqualmie,Townhouse,7/1/19,7/31/19,591
Redmond,Townhouse,9/1/19,9/30/19,570
Olympia,All Residential,11/1/10,11/30/10,228
Kenmore,All Residential,4/1/11,4/30/11,416
Redmond,All Residential,6/1/11,6/30/11,416
Seattle,All Residential,2/1/10,2/28/10,360
Kenmore,All Residential,1/1/11,1/31/11,342
Kirkland,All Residential,3/1/12,3/31/12,307
Mercer Island,All Residential,7/1/12,7/31/12,773
Kirkland,All Residential,5/1/14,5/31/14,488
Kirkland,All Residential,1/1/15,1/31/15,465
Kent,All Residential,5/1/15,5/31/15,299
Seattle,All Residential,8/1/15,8/31/15,540
Issaquah,All Residential,8/1/15,8/31/15,545
Bellevue,All Residential,6/1/16,6/30/16,755
Kirkland,All Residential,5/1/17,5/31/17,700
Redmond,All Residential,9/1/17,9/30/17,800
Issaquah,All Residential,10/1/18,10/31/18,760
Bothell,All Residential,7/1/19,7/31/19,610
Snoqualmie,All Residential,5/1/10,5/31/10,415
Kirkland,All Residential,7/1/10,7/31/10,444
Kenmore,All Residential,10/1/10,10/31/10,352
Sammamish,All Residential,6/1/11,6/30/11,540
Redmond,All Residential,7/1/11,7/31/11,441
Kent,All Residential,6/1/12,6/30/12,233
Kirkland,All Residential,9/1/12,9/30/12,403
Kenmore,All Residential,9/1/13,9/30/13,450
Issaquah,All Residential,6/1/16,6/30/16,600
Kirkland,All Residential,2/1/17,2/28/17,658
Seattle,All Residential,3/1/17,3/31/17,630
Kirkland,All Residential,4/1/17,4/30/17,675
Bellevue,All Residential,7/1/17,7/31/17,870
Redmond,All Residential,11/1/17,11/30/17,772
Kirkland,All Residential,6/1/18,6/30/18,800
Redmond,All Residential,12/1/18,12/31/18,969
Redmond,All Residential,8/1/19,8/31/19,882
Seattle,All Residential,8/1/19,8/31/19,675
Kenmore,All Residential,9/1/19,9/30/19,646
Bellevue,Condo/Co-op,9/1/10,9/30/10,268
Kent,Condo/Co-op,11/1/10,11/30/10,96
Kenmore,Condo/Co-op,4/1/11,4/30/11,344
Seattle,Condo/Co-op,6/1/11,6/30/11,232
Sammamish,Condo/Co-op,6/1/11,6/30/11,203
Kirkland,Condo/Co-op,12/1/11,12/31/11,170
Snoqualmie,Condo/Co-op,4/1/12,4/30/12,200
Seattle,Condo/Co-op,5/1/12,5/31/12,270
Bellevue,Condo/Co-op,3/1/15,3/31/15,285
Olympia,Condo/Co-op,5/1/15,5/31/15,137
Bothell,Condo/Co-op,9/1/15,9/30/15,233
Kenmore,Condo/Co-op,12/1/15,12/31/15,320
Seattle,Condo/Co-op,3/1/16,3/31/16,379
Issaquah,Condo/Co-op,4/1/16,4/30/16,275
Kirkland,Condo/Co-op,3/1/18,3/31/18,365
Bothell,Condo/Co-op,7/1/18,7/31/18,380
Olympia,Condo/Co-op,7/1/18,7/31/18,178
Bothell,Condo/Co-op,12/1/18,12/31/18,509
Kent,Condo/Co-op,5/1/19,5/31/19,220
Redmond,All Residential,3/1/13,3/31/13,460
Issaquah,All Residential,4/1/13,4/30/13,480
Redmond,All Residential,8/1/14,8/31/14,586
Issaquah,All Residential,10/1/14,10/31/14,434
Olympia,All Residential,9/1/16,9/30/16,290
Issaquah,All Residential,2/1/17,2/28/17,600
Kirkland,All Residential,3/1/17,3/31/17,672
Bothell,All Residential,6/1/17,6/30/17,589
Olympia,All Residential,9/1/17,9/30/17,300
Bellevue,All Residential,2/1/18,2/28/18,890
Seattle,All Residential,11/1/18,11/30/18,682
Seattle,All Residential,7/1/19,7/31/19,685
Issaquah,All Residential,9/1/19,9/30/19,695
Issaquah,Condo/Co-op,5/1/10,5/31/10,235
Seattle,Condo/Co-op,5/1/10,5/31/10,283
Bothell,Condo/Co-op,12/1/10,12/31/10,182
Seattle,Condo/Co-op,4/1/11,4/30/11,278
Kirkland,Condo/Co-op,4/1/12,4/30/12,194
Kenmore,Condo/Co-op,4/1/12,4/30/12,176
Seattle,Condo/Co-op,10/1/12,10/31/12,259
Seattle,Condo/Co-op,11/1/12,11/30/12,235
Olympia,Condo/Co-op,9/1/13,9/30/13,83
Kenmore,Condo/Co-op,3/1/14,3/31/14,125
Bothell,Condo/Co-op,6/1/14,6/30/14,250
Issaquah,Condo/Co-op,9/1/14,9/30/14,248
Kent,Condo/Co-op,2/1/15,2/28/15,208
Tacoma,Condo/Co-op,3/1/15,3/31/15,215
Bothell,Condo/Co-op,5/1/15,5/31/15,248
Bothell,Condo/Co-op,1/1/16,1/31/16,465
Bothell,Condo/Co-op,3/1/16,3/31/16,370
Redmond,Condo/Co-op,9/1/16,9/30/16,285
Kirkland,Condo/Co-op,3/1/17,3/31/17,310
Kirkland,Condo/Co-op,11/1/18,11/30/18,450
Kirkland,Multi-Family (2-4 Unit),6/1/12,6/30/12,610
Olympia,Multi-Family (2-4 Unit),7/1/12,7/31/12,318
Kirkland,Multi-Family (2-4 Unit),8/1/12,8/31/12,660
Seattle,Multi-Family (2-4 Unit),7/1/14,7/31/14,605
Tacoma,Multi-Family (2-4 Unit),5/1/15,5/31/15,221
Olympia,Multi-Family (2-4 Unit),7/1/16,7/31/16,230
Tacoma,Multi-Family (2-4 Unit),6/1/18,6/30/18,518
Bothell,Multi-Family (2-4 Unit),9/1/19,9/30/19,865
Kent,Condo/Co-op,1/1/10,1/31/10,220
Kent,Condo/Co-op,7/1/10,7/31/10,155
Kirkland,Condo/Co-op,9/1/10,9/30/10,193
Kenmore,Condo/Co-op,11/1/10,11/30/10,157
Kirkland,Condo/Co-op,1/1/11,1/31/11,160
Tacoma,Condo/Co-op,9/1/11,9/30/11,189
Kent,Condo/Co-op,8/1/12,8/31/12,77
Olympia,Condo/Co-op,11/1/12,11/30/12,135
Redmond,Condo/Co-op,3/1/13,3/31/13,210
Tacoma,Condo/Co-op,5/1/13,5/31/13,131
Kirkland,Condo/Co-op,7/1/13,7/31/13,210
Sammamish,Condo/Co-op,8/1/13,8/31/13,197
Kirkland,Condo/Co-op,12/1/13,12/31/13,204
Olympia,Condo/Co-op,10/1/14,10/31/14,203
Issaquah,Condo/Co-op,3/1/15,3/31/15,263
Kent,Condo/Co-op,7/1/15,7/31/15,147
Kent,Condo/Co-op,10/1/15,10/31/15,180
Kirkland,Condo/Co-op,8/1/16,8/31/16,288
Issaquah,Condo/Co-op,8/1/16,8/31/16,293
Sammamish,Condo/Co-op,10/1/16,10/31/16,266
Olympia,Condo/Co-op,1/1/17,1/31/17,105
Kent,Condo/Co-op,10/1/17,10/31/17,228
Mercer Island,Condo/Co-op,3/1/18,3/31/18,590
Issaquah,Condo/Co-op,4/1/19,4/30/19,418
Kirkland,Condo/Co-op,6/1/19,6/30/19,377
Bothell,Multi-Family (2-4 Unit),1/1/12,1/31/12,430
Tacoma,Multi-Family (2-4 Unit),1/1/14,1/31/14,175
Seattle,Multi-Family (2-4 Unit),1/1/14,1/31/14,605
Kent,Multi-Family (2-4 Unit),4/1/14,4/30/14,217
Redmond,Multi-Family (2-4 Unit),8/1/14,8/31/14,678
Kirkland,Multi-Family (2-4 Unit),4/1/16,4/30/16,"1,505"
Kent,Multi-Family (2-4 Unit),7/1/18,7/31/18,413
Olympia,Multi-Family (2-4 Unit),9/1/10,9/30/10,229
Kenmore,Multi-Family (2-4 Unit),2/1/13,2/28/13,399
Seattle,Multi-Family (2-4 Unit),3/1/14,3/31/14,537
Kent,Multi-Family (2-4 Unit),11/1/14,11/30/14,258
Redmond,Single Family Residential,1/1/10,1/31/10,508
Kenmore,Single Family Residential,4/1/10,4/30/10,363
Kirkland,Single Family Residential,12/1/10,12/31/10,534
Olympia,Single Family Residential,12/1/10,12/31/10,255
Kirkland,Single Family Residential,8/1/11,8/31/11,479
Kent,Single Family Residential,10/1/11,10/31/11,228
Bothell,Single Family Residential,12/1/12,12/31/12,358
Kirkland,Single Family Residential,1/1/13,1/31/13,402
Mercer Island,Single Family Residential,1/1/13,1/31/13,"1,055"
Redmond,Single Family Residential,9/1/13,9/30/13,615
Kirkland,Single Family Residential,10/1/13,10/31/13,515
Mercer Island,Single Family Residential,3/1/14,3/31/14,"1,156"
Olympia,Single Family Residential,10/1/14,10/31/14,255
Bothell,Single Family Residential,11/1/14,11/30/14,480
Redmond,Single Family Residential,12/1/14,12/31/14,755
Kent,Single Family Residential,2/1/15,2/28/15,304
Kirkland,Single Family Residential,3/1/16,3/31/16,748
Tacoma,Single Family Residential,3/1/16,3/31/16,225
Kent,Single Family Residential,10/1/16,10/31/16,362
Issaquah,Single Family Residential,11/1/16,11/30/16,730
Tacoma,Single Family Residential,1/1/17,1/31/17,236
Kenmore,Single Family Residential,3/1/17,3/31/17,680
Redmond,Single Family Residential,4/1/17,4/30/17,875
Kenmore,Single Family Residential,11/1/17,11/30/17,682
Sammamish,Single Family Residential,11/1/17,11/30/17,975
Seattle,Single Family Residential,2/1/18,2/28/18,761
Bellevue,Single Family Residential,2/1/10,2/28/10,550
Issaquah,Single Family Residential,6/1/10,6/30/10,513
Kenmore,Single Family Residential,7/1/10,7/31/10,373
Redmond,Single Family Residential,9/1/10,9/30/10,600
Redmond,Single Family Residential,11/1/10,11/30/10,590
Tacoma,Single Family Residential,4/1/11,4/30/11,168
Bothell,Single Family Residential,10/1/12,10/31/12,324
Snoqualmie,Single Family Residential,6/1/13,6/30/13,477
Kent,Single Family Residential,1/1/14,1/31/14,290
Redmond,Single Family Residential,6/1/16,6/30/16,780
Mercer Island,Single Family Residential,11/1/16,11/30/16,"1,305"
Kirkland,Single Family Residential,1/1/18,1/31/18,"1,084"
Kirkland,Single Family Residential,5/1/18,5/31/18,948
Kent,Single Family Residential,8/1/18,8/31/18,450
Bellevue,Single Family Residential,9/1/18,9/30/18,"1,135"
Seattle,Townhouse,3/1/10,3/31/10,338
Sammamish,Townhouse,12/1/10,12/31/10,275
Kent,Townhouse,12/1/10,12/31/10,168
Kirkland,Townhouse,8/1/11,8/31/11,264
Kirkland,Townhouse,12/1/11,12/31/11,270
Kirkland,Townhouse,1/1/12,1/31/12,227
Kenmore,Townhouse,3/1/12,3/31/12,145
Issaquah,Townhouse,1/1/13,1/31/13,264
Redmond,Townhouse,2/1/13,2/28/13,268
Seattle,Townhouse,4/1/13,4/30/13,404
Kirkland,Townhouse,9/1/13,9/30/13,335
Kent,Townhouse,5/1/14,5/31/14,210
Sammamish,Townhouse,9/1/14,9/30/14,366
Bothell,Townhouse,4/1/15,4/30/15,250
Kirkland,Townhouse,9/1/15,9/30/15,454
Kirkland,Townhouse,1/1/16,1/31/16,413
Sammamish,Townhouse,2/1/17,2/28/17,525
Issaquah,Townhouse,5/1/17,5/31/17,515
Redmond,Townhouse,9/1/17,9/30/17,649
Issaquah,Townhouse,11/1/17,11/30/17,595
Kirkland,Townhouse,11/1/17,11/30/17,510
Bellevue,Townhouse,2/1/18,2/28/18,751
Olympia,Townhouse,3/1/18,3/31/18,235
Kirkland,Townhouse,7/1/18,7/31/18,597
Kent,Townhouse,7/1/18,7/31/18,283
Kirkland,Townhouse,6/1/19,6/30/19,717
Seattle,Townhouse,7/1/19,7/31/19,698
Snoqualmie,Single Family Residential,1/1/10,1/31/10,429
Issaquah,Single Family Residential,4/1/10,4/30/10,445
Sammamish,Single Family Residential,9/1/10,9/30/10,545
Issaquah,Single Family Residential,10/1/10,10/31/10,512
Kenmore,Single Family Residential,1/1/11,1/31/11,386
Mercer Island,Single Family Residential,3/1/11,3/31/11,765
Kenmore,Single Family Residential,10/1/11,10/31/11,348
Issaquah,Single Family Residential,11/1/11,11/30/11,485
Bellevue,Single Family Residential,12/1/11,12/31/11,487
Sammamish,Single Family Residential,10/1/12,10/31/12,557
Tacoma,Single Family Residential,12/1/12,12/31/12,156
Kent,Single Family Residential,10/1/13,10/31/13,272
Kent,Single Family Residential,2/1/14,2/28/14,268
Kent,Single Family Residential,4/1/14,4/30/14,265
Redmond,Single Family Residential,11/1/14,11/30/14,670
Issaquah,Single Family Residential,6/1/15,6/30/15,656
Issaquah,Single Family Residential,3/1/16,3/31/16,741
Kirkland,Single Family Residential,6/1/16,6/30/16,686
Sammamish,Single Family Residential,8/1/16,8/31/16,860
Issaquah,Single Family Residential,1/1/17,1/31/17,858
Kent,Single Family Residential,7/1/17,7/31/17,409
Bellevue,Single Family Residential,9/1/17,9/30/17,"1,200"
Kent,Single Family Residential,3/1/19,3/31/19,445
Kent,Townhouse,2/1/10,2/28/10,134
Redmond,Townhouse,7/1/10,7/31/10,325
Sammamish,Townhouse,5/1/13,5/31/13,355
Issaquah,Townhouse,8/1/13,8/31/13,345
Kent,Townhouse,11/1/13,11/30/13,114
Sammamish,Townhouse,4/1/14,4/30/14,350
Kirkland,Townhouse,12/1/14,12/31/14,313
Kent,Townhouse,10/1/16,10/31/16,210
Kent,Townhouse,7/1/17,7/31/17,270
Sammamish,Townhouse,8/1/17,8/31/17,590
Issaquah,Townhouse,7/1/18,7/31/18,615
Sammamish,Townhouse,9/1/18,9/30/18,755
Bothell,Townhouse,12/1/18,12/31/18,425
Bellevue,Townhouse,1/1/19,1/31/19,822
Kirkland,Townhouse,8/1/19,8/31/19,620
Issaquah,Townhouse,7/1/10,7/31/10,275
Kenmore,Townhouse,8/1/10,8/31/10,240
Seattle,Townhouse,5/1/11,5/31/11,275
Kenmore,Townhouse,8/1/13,8/31/13,302
Issaquah,Townhouse,9/1/13,9/30/13,324
Kirkland,Townhouse,11/1/13,11/30/13,299
Issaquah,Townhouse,12/1/14,12/31/14,437
Issaquah,Townhouse,6/1/15,6/30/15,453
Bellevue,Townhouse,5/1/16,5/31/16,490
Kent,Townhouse,12/1/16,12/31/16,240
Bellevue,Townhouse,2/1/17,2/28/17,573
Kenmore,Townhouse,4/1/18,4/30/18,452
Issaquah,Townhouse,10/1/18,10/31/18,676
Issaquah,Townhouse,12/1/18,12/31/18,555
Kenmore,All Residential,8/1/10,8/31/10,340
Kenmore,All Residential,3/1/12,3/31/12,325
Kent,All Residential,8/1/12,8/31/12,221
Sammamish,All Residential,4/1/14,4/30/14,670
Kirkland,All Residential,7/1/15,7/31/15,488
Kirkland,All Residential,11/1/15,11/30/15,525
Issaquah,All Residential,4/1/16,4/30/16,585
Kent,All Residential,5/1/18,5/31/18,415
Tacoma,All Residential,1/1/19,1/31/19,304
Issaquah,Condo/Co-op,9/1/10,9/30/10,220
Issaquah,Condo/Co-op,11/1/10,11/30/10,189
Kirkland,Condo/Co-op,7/1/11,7/31/11,180
Issaquah,Condo/Co-op,11/1/11,11/30/11,160
Kirkland,Condo/Co-op,4/1/13,4/30/13,200
Seattle,Condo/Co-op,5/1/13,5/31/13,270
Redmond,Condo/Co-op,10/1/13,10/31/13,235
Issaquah,Condo/Co-op,3/1/14,3/31/14,230
Kirkland,Condo/Co-op,3/1/14,3/31/14,237
Kenmore,Condo/Co-op,4/1/14,4/30/14,174
Issaquah,Condo/Co-op,2/1/15,2/28/15,208
Issaquah,Condo/Co-op,11/1/15,11/30/15,261
Kent,Condo/Co-op,2/1/17,2/28/17,145
Redmond,Condo/Co-op,7/1/17,7/31/17,382
Mercer Island,Condo/Co-op,7/1/17,7/31/17,376
Kirkland,Condo/Co-op,10/1/17,10/31/17,330
Redmond,Condo/Co-op,11/1/17,11/30/17,360
Sammamish,Condo/Co-op,4/1/18,4/30/18,375
Seattle,Condo/Co-op,12/1/18,12/31/18,485
Seattle,Multi-Family (2-4 Unit),11/1/10,11/30/10,440
Seattle,Multi-Family (2-4 Unit),8/1/14,8/31/14,540
Seattle,Multi-Family (2-4 Unit),5/1/15,5/31/15,623
Kent,Multi-Family (2-4 Unit),1/1/17,1/31/17,590
Tacoma,Multi-Family (2-4 Unit),9/1/17,9/30/17,391
Olympia,Multi-Family (2-4 Unit),1/1/19,1/31/19,298
Kent,Multi-Family (2-4 Unit),5/1/19,5/31/19,570
Tacoma,Single Family Residential,7/1/10,7/31/10,177
Issaquah,Single Family Residential,2/1/11,2/28/11,519
Kent,Single Family Residential,2/1/11,2/28/11,236
Sammamish,Single Family Residential,5/1/11,5/31/11,575
Issaquah,Single Family Residential,6/1/12,6/30/12,497
Kent,Single Family Residential,8/1/12,8/31/12,233
Issaquah,Single Family Residential,4/1/13,4/30/13,537
Mercer Island,Single Family Residential,7/1/14,7/31/14,911
Mercer Island,Single Family Residential,11/1/15,11/30/15,"1,200"
Kent,Single Family Residential,9/1/16,9/30/16,368
Snoqualmie,Single Family Residential,12/1/17,12/31/17,777
Kenmore,Single Family Residential,12/1/18,12/31/18,650
Kenmore,Single Family Residential,3/1/19,3/31/19,730
Bothell,Townhouse,2/1/10,2/28/10,255
Redmond,Townhouse,10/1/10,10/31/10,272
Bellevue,Townhouse,2/1/11,2/28/11,368
Kent,Townhouse,3/1/11,3/31/11,172
Kent,Townhouse,7/1/14,7/31/14,184
Issaquah,Townhouse,8/1/14,8/31/14,417
Snoqualmie,Townhouse,2/1/15,2/28/15,386
Olympia,Townhouse,3/1/16,3/31/16,200
Issaquah,Townhouse,3/1/17,3/31/17,529
Issaquah,Townhouse,10/1/17,10/31/17,644
Issaquah,All Residential,5/1/11,5/31/11,350
Kent,All Residential,2/1/12,2/29/12,201
Seattle,All Residential,5/1/12,5/31/12,380
Redmond,All Residential,12/1/12,12/31/12,525
Issaquah,All Residential,2/1/13,2/28/13,415
Kent,All Residential,2/1/13,2/28/13,214
Kirkland,All Residential,5/1/13,5/31/13,450
Issaquah,All Residential,9/1/13,9/30/13,460
Kenmore,All Residential,6/1/14,6/30/14,445
Issaquah,All Residential,3/1/15,3/31/15,490
Redmond,All Residential,9/1/16,9/30/16,651
Sammamish,All Residential,9/1/16,9/30/16,775
Snoqualmie,All Residential,7/1/10,7/31/10,443
Kent,All Residential,7/1/10,7/31/10,260
Sammamish,All Residential,8/1/10,8/31/10,569
Bothell,All Residential,11/1/10,11/30/10,304
Kirkland,All Residential,6/1/11,6/30/11,370
Issaquah,All Residential,8/1/11,8/31/11,425
Mercer Island,All Residential,10/1/11,10/31/11,625
Mercer Island,All Residential,12/1/11,12/31/11,865
Kirkland,All Residential,5/1/12,5/31/12,360
Redmond,All Residential,6/1/12,6/30/12,488
Mercer Island,All Residential,8/1/12,8/31/12,787
Bothell,All Residential,12/1/12,12/31/12,327
Issaquah,All Residential,7/1/13,7/31/13,487
Issaquah,All Residential,2/1/15,2/28/15,405
Issaquah,All Residential,3/1/16,3/31/16,570
Sammamish,All Residential,4/1/16,4/30/16,711
Kenmore,All Residential,8/1/17,8/31/17,688
Sammamish,All Residential,1/1/19,1/31/19,"1,004"
Redmond,All Residential,5/1/19,5/31/19,919
