City,Property Type,Period Begin,Period End,Median Sale Price (in 000's of dollars)
Mercer Island,Condo/Co-op,3/1/12,3/31/12,190
Olympia,Condo/Co-op,5/1/12,5/31/12,135
Bothell,Condo/Co-op,6/1/12,6/30/12,122
Seattle,Condo/Co-op,12/1/12,12/31/12,263
Tacoma,Condo/Co-op,12/1/12,12/31/12,129
Redmond,Condo/Co-op,2/1/13,2/28/13,195
Tacoma,Condo/Co-op,2/1/13,2/28/13,123
Redmond,Condo/Co-op,4/1/13,4/30/13,184
Bothell,Condo/Co-op,5/1/13,5/31/13,170
Olympia,Condo/Co-op,6/1/13,6/30/13,275
Seattle,Condo/Co-op,7/1/13,7/31/13,284
Tacoma,Condo/Co-op,10/1/13,10/31/13,180
Kenmore,Condo/Co-op,12/1/13,12/31/13,145
Seattle,Condo/Co-op,1/1/14,1/31/14,288
Tacoma,Condo/Co-op,1/1/14,1/31/14,196
Tacoma,Condo/Co-op,8/1/14,8/31/14,195
Kenmore,Condo/Co-op,10/1/14,10/31/14,204
Bellevue,Condo/Co-op,10/1/14,10/31/14,299
Redmond,Condo/Co-op,11/1/14,11/30/14,248
Kirkland,Condo/Co-op,11/1/14,11/30/14,225
Sammamish,Condo/Co-op,2/1/15,2/28/15,271
Mercer Island,Condo/Co-op,7/1/15,7/31/15,400
Snoqualmie,Condo/Co-op,8/1/15,8/31/15,310
Sammamish,Condo/Co-op,11/1/15,11/30/15,325
Tacoma,Condo/Co-op,1/1/16,1/31/16,218
Kent,Condo/Co-op,8/1/16,8/31/16,215
Olympia,Condo/Co-op,10/1/16,10/31/16,124
Bellevue,Condo/Co-op,10/1/16,10/31/16,333
Kent,Condo/Co-op,11/1/16,11/30/16,167
Tacoma,Condo/Co-op,8/1/17,8/31/17,282
Bellevue,Condo/Co-op,12/1/17,12/31/17,650
Olympia,Condo/Co-op,1/1/18,1/31/18,216
Seattle,Condo/Co-op,2/1/18,2/28/18,530
Tacoma,Condo/Co-op,4/1/18,4/30/18,255
Bellevue,Condo/Co-op,5/1/18,5/31/18,460
Tacoma,Condo/Co-op,5/1/18,5/31/18,230
Bothell,Condo/Co-op,10/1/18,10/31/18,385
Kent,Condo/Co-op,1/1/19,1/31/19,219
Tacoma,Condo/Co-op,2/1/19,2/28/19,429
Issaquah,Condo/Co-op,3/1/19,3/31/19,358
Kent,Condo/Co-op,4/1/19,4/30/19,254
Mercer Island,Condo/Co-op,4/1/19,4/30/19,430
Kenmore,Condo/Co-op,5/1/19,5/31/19,363
Kent,Condo/Co-op,6/1/19,6/30/19,247
Mercer Island,Condo/Co-op,6/1/19,6/30/19,605
Olympia,Condo/Co-op,9/1/19,9/30/19,317
Seattle,Condo/Co-op,9/1/19,9/30/19,447
Sammamish,Condo/Co-op,4/1/10,4/30/10,219
Kenmore,Condo/Co-op,4/1/10,4/30/10,173
Mercer Island,Condo/Co-op,7/1/10,7/31/10,202
Seattle,Condo/Co-op,8/1/10,8/31/10,285
Kenmore,Condo/Co-op,8/1/10,8/31/10,203
Sammamish,Condo/Co-op,9/1/10,9/30/10,238
Snoqualmie,Condo/Co-op,11/1/10,11/30/10,158
Bellevue,Condo/Co-op,11/1/10,11/30/10,180
Tacoma,Condo/Co-op,11/1/10,11/30/10,210
Mercer Island,Condo/Co-op,12/1/10,12/31/10,383
Bellevue,Condo/Co-op,6/1/11,6/30/11,300
Mercer Island,Condo/Co-op,6/1/11,6/30/11,210
Tacoma,Condo/Co-op,6/1/11,6/30/11,210
Redmond,Condo/Co-op,7/1/11,7/31/11,185
Tacoma,Condo/Co-op,11/1/11,11/30/11,138
Sammamish,Condo/Co-op,3/1/12,3/31/12,209
Redmond,Condo/Co-op,5/1/12,5/31/12,222
Tacoma,Condo/Co-op,5/1/12,5/31/12,167
Mercer Island,Condo/Co-op,6/1/12,6/30/12,240
Kenmore,Condo/Co-op,6/1/12,6/30/12,119
Mercer Island,Condo/Co-op,7/1/12,7/31/12,335
Snoqualmie,Condo/Co-op,11/1/12,11/30/12,296
Bellevue,Condo/Co-op,12/1/12,12/31/12,445
Sammamish,Condo/Co-op,12/1/12,12/31/12,151
Bellevue,Condo/Co-op,1/1/13,1/31/13,280
Olympia,Condo/Co-op,2/1/13,2/28/13,108
Sammamish,Condo/Co-op,2/1/13,2/28/13,122
Seattle,Condo/Co-op,3/1/13,3/31/13,286
Tacoma,Condo/Co-op,3/1/13,3/31/13,184
Bothell,Condo/Co-op,4/1/13,4/30/13,140
Snoqualmie,Condo/Co-op,6/1/13,6/30/13,306
Mercer Island,Condo/Co-op,7/1/13,7/31/13,295
Mercer Island,Condo/Co-op,8/1/13,8/31/13,288
Seattle,Condo/Co-op,9/1/13,9/30/13,270
Kirkland,Condo/Co-op,10/1/13,10/31/13,192
Seattle,Condo/Co-op,10/1/13,10/31/13,285
Seattle,Condo/Co-op,11/1/13,11/30/13,280
Sammamish,Condo/Co-op,11/1/13,11/30/13,257
Sammamish,Condo/Co-op,2/1/14,2/28/14,335
Kent,Condo/Co-op,5/1/14,5/31/14,115
